state,boundary,conflict,rank,id,literal,delta_percent,HIGH
packages/T10_LOCAL_S1_B486897,486897,3192,1,2471,211,0.0,False
packages/T10_LOCAL_S2_B487019,487019,3193,1,1542,-331,0.0,False
packages/T10_LOCAL_S2_B487019,487019,3193,2,1841,-252,0.0,False
packages/T10_LOCAL_S2_B487019,487019,3193,3,1853,-139,0.0,False
packages/T10_LOCAL_S2_B487019,487019,3193,4,1854,-16,0.0,False
packages/T10_LOCAL_S3_B487244,487244,3194,1,94,-500,0.0,False
packages/T10_LOCAL_S3_B487244,487244,3194,2,95,-458,0.0,False
packages/T10_LOCAL_S3_B487244,487244,3194,3,96,-293,0.0,False
packages/T10_LOCAL_S3_B487244,487244,3194,4,98,-44,0.0,False
packages/T10_LOCAL_S3_B487244,487244,3194,5,99,-14,0.0,False
packages/T10_LOCAL_S4_B487418,487418,3195,1,2544,430,0.0,False
packages/T10_LOCAL_S5_B487505,487505,3196,1,2471,211,0.0,False
packages/T10_LOCAL_S5_B487505,487505,3196,2,3821,278,0.0,False
packages/T10_LOCAL_S6_B487662,487662,3197,1,2605,-77,0.0,False
packages/T10_LOCAL_S7_B487782,487782,3198,1,351,-549,0.0,False
packages/T10_LOCAL_S7_B487782,487782,3198,2,1439,-357,0.0,False
packages/T10_LOCAL_S7_B487782,487782,3198,3,1556,-327,0.0,False
packages/T10_LOCAL_S7_B487782,487782,3198,4,2319,-63,0.0,False
packages/T10_LOCAL_S7_B487782,487782,3198,5,2339,-49,0.0,False
packages/T10_LOCAL_S8_B487903,487903,3199,1,705,-493,0.0,False
packages/T10_LOCAL_S8_B487903,487903,3199,2,1890,-241,0.0,False
packages/T10_LOCAL_S8_B487903,487903,3199,3,1986,-208,0.0,False
packages/T10_LOCAL_S8_B487903,487903,3199,4,2328,-58,0.0,False
packages/T10_LOCAL_S9_B488045,488045,3200,1,2544,430,0.0,False
packages/T10_LOCAL_S9_B488045,488045,3200,2,5633,27,-21.810435562935847,True
packages/T10_LOCAL_S10_B488276,488276,3201,1,1840,-252,0.0,False
packages/T10_LOCAL_S10_B488276,488276,3201,2,1847,-218,0.0,False
packages/T10_LOCAL_S10_B488276,488276,3201,3,1849,-140,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,1,805,-474,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,2,813,-472,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,3,814,-224,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,4,816,-173,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,5,817,-98,0.0,False
packages/T10_LOCAL_S11_B488444,488444,3202,6,818,-26,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,1,475,-530,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,2,1345,-374,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,3,1729,-284,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,4,1750,-278,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,5,1961,-211,0.0,False
packages/T10_LOCAL_S12_B488676,488676,3203,6,1963,-2,0.0,False
packages/T10_LOCAL_S13_B488816,488816,3204,1,1883,-243,0.0,False
packages/T10_LOCAL_S13_B488816,488816,3204,2,1953,-216,0.0,False
packages/T10_LOCAL_S13_B488816,488816,3204,3,1973,-210,0.0,False
packages/T10_LOCAL_S13_B488816,488816,3204,4,2325,-60,0.0,False
packages/T10_LOCAL_S14_B488880,488880,3205,1,2605,-77,0.0,False
packages/T10_LOCAL_S15_B489090,489090,3206,1,2431,92,0.0,False
packages/T10_LOCAL_S16_B489406,489406,3207,1,820,-223,0.0,False
packages/T10_LOCAL_S16_B489406,489406,3207,2,821,-202,0.0,False
packages/T10_LOCAL_S16_B489406,489406,3207,3,822,-172,0.0,False
packages/T10_LOCAL_S16_B489406,489406,3207,4,823,-97,0.0,False
packages/T10_LOCAL_S17_B489570,489570,3208,1,2401,2,0.0,False
