target,state_id,action_rank,action_id,literal,clause,prefix_analysis_ops,baseline_final_analysis_ops,action_final_analysis_ops,baseline_remaining_ops,action_remaining_ops,final_ops_delta_percent,HIGH_LEVERAGE,direction,conflicts,decisions,propagations,enqueues,proof_sha256,proof_validation,clause_id,conflicts_delta,decisions_delta,propagations_delta,enqueues_delta
T8,T8_S1_B448899,1,907,-456,"[-455, -456]",109301,219571,219571,110270,110270,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,907,0,0,0,0
T8,T8_S1_B448899,2,916,-422,"[-422, -455]",109301,219571,219571,110270,110270,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,916,0,0,0,0
T8,T8_S1_B448899,3,918,-323,"[-455, -323]",109301,219571,219571,110270,110270,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,918,0,0,0,0
T8,T8_S1_B448899,4,919,-248,"[-248, -455]",109301,219571,219571,110270,110270,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,919,0,0,0,0
T8,T8_S1_B448899,5,920,-233,"[-233, -455]",109301,219571,219571,110270,110270,0.0,False,zero,6087,7162,476510,917500,3a3b746fe340ccde20645f2a9b1925d70cb155d6e5a17a425c447f43073e2a6b,VERIFIED,920,0,0,0,-7
T8,T8_S2_B464745,1,908,-454,"[-454, -456]",113233,219571,219571,106338,106338,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,908,0,0,0,0
T8,T8_S2_B464745,2,909,-423,"[-423, -456]",113233,219571,219571,106338,106338,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,909,0,0,0,0
T8,T8_S2_B464745,3,911,-324,"[-456, -324]",113233,219571,219571,106338,106338,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,911,0,0,0,0
T8,T8_S2_B464745,4,912,-249,"[-249, -456]",113233,219571,219571,106338,106338,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,912,0,0,0,0
T8,T8_S2_B464745,5,913,-234,"[-234, -456]",113233,219571,219571,106338,106338,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,913,0,0,0,0
T8,T8_S3_B480028,1,1420,-359,"[-329, -359]",116881,219571,219571,102690,102690,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,1420,0,0,0,0
T8,T8_S3_B480028,2,1543,-330,"[-329, -330]",116881,219571,219571,102690,102690,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,1543,0,0,0,0
T8,T8_S3_B480028,3,1548,-281,"[-281, -329]",116881,219571,219571,102690,102690,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,1548,0,0,0,0
T8,T8_S4_B496417,1,605,-505,"[-505, -507]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,605,0,0,0,0
T8,T8_S4_B496417,2,606,-330,"[-507, -330]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,606,0,0,0,0
T8,T8_S4_B496417,3,607,-300,"[-300, -507]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,607,0,0,0,0
T8,T8_S4_B496417,4,608,-228,"[-228, -507]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,608,0,0,0,0
T8,T8_S4_B496417,5,609,-99,"[-99, -507]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,609,0,0,0,0
T8,T8_S4_B496417,6,610,-24,"[-24, -507]",120548,219571,219571,99023,99023,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,610,0,0,0,0
T8,T8_S5_B512042,1,213,-569,"[-569, -188]",124150,219571,219571,95421,95421,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,213,0,0,0,0
T8,T8_S5_B512042,2,1392,-365,"[-365, -188]",124150,219571,219571,95421,95421,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,1392,0,0,0,0
T8,T8_S5_B512042,3,1571,-323,"[-323, -188]",124150,219571,219571,95421,95421,0.0,False,zero,6087,7162,476510,917507,8615622e9e98ca63d870fd59c24d052e40ee6bad58731689652caa2cc5a81a20,VERIFIED,1571,0,0,0,0
