target,state_id,selected_count,HIGH_count,label,scope
T8,T8_S1_B448899,5,0,INERT,within frozen tested-action budget
T8,T8_S2_B464745,5,0,INERT,within frozen tested-action budget
T8,T8_S3_B480028,3,0,INERT,within frozen tested-action budget
T8,T8_S4_B496417,6,0,INERT,within frozen tested-action budget
T8,T8_S5_B512042,5,0,INERT,within frozen tested-action budget
T8,T8_S6_B527771,4,0,INERT,within frozen tested-action budget
T10,T10_S1_B457201,6,0,INERT,within frozen tested-action budget
T10,T10_S2_B472337,5,0,INERT,within frozen tested-action budget
T10,T10_S3_B488045,2,1,SENSITIVE,within frozen tested-action budget
T10,T10_S4_B504414,6,0,INERT,within frozen tested-action budget
T10,T10_S5_B521153,4,0,INERT,within frozen tested-action budget
T10,T10_S6_B537523,5,0,INERT,within frozen tested-action budget
T13,T13_S1_B449502,5,0,INERT,within frozen tested-action budget
T13,T13_S2_B464518,4,0,INERT,within frozen tested-action budget
T13,T13_S3_B479328,6,0,INERT,within frozen tested-action budget
T13,T13_S4_B495919,4,0,INERT,within frozen tested-action budget
T13,T13_S5_B512606,6,0,INERT,within frozen tested-action budget
T13,T13_S6_B527409,4,0,INERT,within frozen tested-action budget
